,angle_x,angle_y,angle_z,target
494,-16.46,6.8,-1.91,0
495,-16.25,6.84,-1.88,0
496,-16.01,6.81,-1.85,0
497,-15.16,6.87,-1.8,0
498,-14.47,6.96,-1.67,0
499,-13.63,7.07,-1.59,0
500,-12.87,7.24,-1.53,0
501,-12.25,7.45,-1.46,0
502,-11.85,7.57,-1.41,0
503,-11.54,7.52,-1.43,0
504,-11.18,7.54,-1.38,0
505,-10.84,7.48,-1.36,0
506,-10.38,7.42,-1.32,0
507,-9.88,7.34,-1.3,0
508,-9.04,7.57,-1.03,0
509,-8.45,7.56,-0.86,0
510,-8.12,7.66,-0.96,0
511,-7.68,7.69,-0.93,0
512,-7.29,7.71,-0.81,0
513,-6.97,7.64,-0.66,0
514,-6.77,7.59,-0.64,0
515,-6.29,7.7,-0.61,0
516,-5.91,7.91,-0.59,0
517,-5.42,8.13,-0.57,0
518,-5.15,8.1,-0.54,0
519,-4.86,8.01,-0.52,0
520,-4.58,7.9,-0.5,0
521,-4.38,7.87,-0.48,0
522,-4.23,7.65,-0.46,0
523,-4.14,7.55,-0.44,0
524,-4.04,7.48,-0.43,0
525,-3.89,7.64,-0.43,0
526,-3.53,7.61,-0.41,0
527,-3.28,7.56,-0.38,0
528,-3.19,7.49,-0.37,0
529,-3.15,7.54,-0.36,0
530,-3.1,7.57,-0.36,0
531,-3.02,7.51,-0.35,0
532,-2.77,7.46,-0.33,0
533,-2.55,7.38,-0.3,0
534,-2.48,7.34,-0.3,0
535,-2.43,7.34,-0.29,0
536,-2.34,7.29,-0.27,0
537,-2.13,7.23,-0.25,0
538,-1.96,7.23,-0.22,0
539,-1.81,7.22,-0.21,0
540,-1.76,7.23,-0.19,0
541,-1.76,7.27,-0.17,0
542,-1.7,7.26,-0.05,0
543,-1.57,7.24,0.01,0
544,-1.43,7.18,0.08,0
545,-1.3,7.1,0.17,0
546,-1.23,7.08,0.2,0
547,-1.2,7.12,0.18,0
548,-1.2,7.16,0.17,0
549,-1.17,7.17,0.16,0
550,-1.09,7.15,0.19,0
551,-0.93,7.06,0.24,0
552,-0.83,7.01,0.26,0
553,-0.77,6.99,0.26,0
554,-0.74,6.91,0.19,0
555,-0.71,6.94,0.2,0
556,-0.65,6.93,0.22,0
557,-0.54,6.86,0.28,0
558,-0.45,6.79,0.36,0
559,-0.4,6.78,0.4,0
560,-0.39,6.84,0.38,0
561,-0.37,6.92,0.36,0
562,-0.33,6.97,0.34,0
563,-0.3,7.03,0.35,0
564,-0.28,7.11,0.37,0
565,-0.28,7.18,0.38,0
566,-0.27,7.24,0.38,0
567,-0.24,7.29,0.38,0
568,-0.22,7.31,0.42,0
569,-0.17,7.3,0.49,0
570,-0.11,7.27,0.58,0
571,-0.06,7.24,0.63,0
572,-0.03,7.24,0.64,0
573,-0.02,7.27,0.64,0
574,0.02,7.31,0.67,0
575,0.02,7.38,0.68,0
576,0.02,7.46,0.7,0
577,-0.04,7.52,0.69,0
578,-0.06,7.66,0.66,0
579,-0.13,7.81,0.59,0
580,-0.25,7.97,0.5,0
581,-0.38,8.16,0.4,0
582,-0.55,8.37,0.31,0
583,-0.7,8.59,0.22,0
584,-0.86,8.75,0.16,0
585,-1.01,8.82,0.12,0
586,-1.11,8.95,0.1,0
587,-1.19,9.08,0.09,0
588,-1.2,9.19,0.13,0
589,-1.28,9.29,0.1,0
590,-1.4,9.38,0.0,0
591,-1.46,9.44,-0.06,0
592,-1.46,9.47,-0.05,0
593,-1.46,9.45,-0.05,0
594,-1.45,9.44,-0.05,0
595,-1.51,9.52,-0.05,0
596,-1.51,9.72,-0.05,0
597,-1.52,9.9,-0.06,0
598,-1.59,10.11,-0.06,0
599,-1.7,10.31,-0.08,0
600,-1.79,10.52,-0.09,0
601,-1.81,10.64,-0.08,0
602,-1.86,10.74,-0.09,0
603,-1.94,10.8,-0.1,0
604,-1.96,10.88,-0.1,0
605,-1.96,10.95,-0.09,0
606,-2.07,10.94,-0.1,0
607,-2.49,10.72,-0.16,0
608,-2.54,10.82,-0.17,0
609,-2.55,10.86,-0.16,0
610,-2.66,10.86,-0.17,0
611,-2.78,10.83,-0.19,0
612,-2.78,10.86,-0.2,0
613,-2.78,10.91,-0.2,0
614,-2.89,10.97,-0.21,0
615,-3.08,11.05,-0.23,0
616,-3.27,11.15,-0.25,0
617,-3.34,11.24,-0.26,0
618,-3.39,11.34,-0.27,0
619,-3.69,11.45,-0.3,0
620,-3.96,11.58,-0.33,0
621,-4.12,11.74,-0.36,0
622,-4.44,11.92,-0.4,0
623,-4.61,12.01,-0.41,0
624,-4.76,12.0,-0.43,0
625,-5.95,11.44,-0.58,0
626,-6.53,10.92,-0.63,0
627,-7.12,10.47,-0.69,0
628,-7.58,10.4,-0.73,0
629,-7.98,10.33,-0.77,0
630,-8.37,10.35,-0.82,0
631,-8.74,10.17,-0.87,0
632,-8.85,10.1,-0.89,0
633,-8.87,10.14,-0.89,0
634,-9.14,10.23,-0.93,0
635,-9.28,10.33,-0.95,0
636,-9.44,10.33,-0.97,0
637,-9.59,10.26,-1.0,0
638,-9.69,10.27,-1.0,0
639,-9.76,10.34,-1.0,0
640,-9.78,10.34,-1.0,0
641,-9.99,10.25,-1.04,0
642,-10.37,10.28,-1.08,0
643,-10.82,10.43,-1.13,0
644,-10.98,10.53,-1.14,0
645,-11.03,10.56,-1.14,0
646,-11.31,10.39,-1.18,0
647,-11.69,10.31,-1.23,0
648,-11.99,10.26,-1.27,0
649,-12.34,10.18,-1.32,0
650,-12.55,10.07,-1.34,0
651,-12.71,10.01,-1.35,0
652,-13.15,9.93,-1.4,0
653,-14.13,9.78,-1.54,0
654,-14.45,9.74,-1.5,0
655,-14.56,10.09,-1.5,0
656,-14.57,10.24,-1.5,0
657,-14.9,10.09,-1.84,0
658,-14.74,10.41,-1.86,0
659,-14.56,9.43,-1.91,0
660,-14.89,9.5,-1.95,0
661,-15.24,9.52,-1.99,0
662,-15.49,9.53,-2.04,0
663,-15.94,9.48,-2.1,0
664,-16.27,9.71,-2.17,0
665,-16.75,9.96,-2.29,0
666,-17.42,10.01,-2.41,0
667,-17.9,10.25,-2.53,0
668,-18.72,10.48,-2.72,0
669,-19.31,10.59,-2.84,0
670,-20.55,10.09,-2.92,0
671,-21.38,10.04,-2.94,0
672,-22.2,10.13,-3.07,0
673,-23.35,10.05,-3.19,0
674,-24.46,9.85,-3.33,0
675,-25.04,10.06,-3.36,0
676,-25.36,10.32,-3.35,0
677,-25.99,10.42,-3.38,0
678,-27.33,10.19,-3.56,0
679,-28.15,10.36,-3.7,0
680,-28.94,10.36,-3.78,0
681,-29.86,10.23,-3.85,0
682,-30.43,10.31,-3.92,0
683,-30.9,10.42,-3.97,0
684,-31.83,10.39,-4.09,0
685,-33.08,10.25,-4.22,0
686,-34.06,10.27,-4.37,0
687,-34.81,10.3,-4.49,0
688,-35.84,10.07,-4.59,0
689,-36.79,10.04,-4.73,0
690,-37.61,10.06,-5.01,0
691,-38.43,10.0,-5.29,0
692,-39.21,9.92,-5.5,0
693,-39.84,10.04,-5.59,0
694,-40.63,10.28,-5.66,0
695,-41.31,10.45,-5.85,0
696,-41.87,10.6,-6.05,0
697,-42.32,10.99,-6.17,0
698,-42.96,11.24,-6.31,0
699,-43.56,11.44,-6.57,0
700,-43.95,11.6,-6.88,0
701,-44.16,11.73,-7.11,0
702,-44.38,11.82,-7.19,0
703,-44.58,11.91,-7.22,0
704,-44.85,11.79,-7.28,0
705,-45.14,11.7,-7.4,0
706,-45.54,11.76,-7.54,0
707,-45.69,11.98,-7.64,0
708,-45.82,11.97,-7.74,0
709,-46.3,11.7,-7.92,0
710,-46.81,11.63,-8.0,0
711,-47.05,11.66,-7.97,0
712,-47.06,11.62,-7.84,0
713,-47.15,11.5,-7.71,0
714,-47.13,11.5,-7.66,0
715,-47.11,11.64,-7.74,0
716,-47.46,11.75,-7.93,0
717,-47.87,11.81,-8.12,0
718,-48.06,11.73,-8.28,0
719,-48.15,11.69,-8.31,0
720,-48.32,11.76,-8.08,0
721,-48.33,11.81,-7.79,0
722,-48.21,11.8,-7.46,0
723,-47.99,11.88,-7.11,0
724,-47.65,11.9,-6.66,0
725,-47.11,11.72,-6.32,0
726,-46.24,11.58,-5.85,0
727,-44.87,10.59,-5.49,0
728,-43.71,9.54,-4.62,0
729,-42.74,8.79,-3.96,0
730,-41.85,8.32,-3.14,0
731,-41.16,8.16,-2.64,0
732,-40.55,7.93,-2.17,0
733,-40.09,7.68,-1.93,0
734,-39.68,7.62,-1.99,0
735,-39.26,7.69,-2.11,0
736,-39.11,7.82,-2.43,0
737,-38.86,7.91,-2.58,0
738,-38.43,7.96,-2.71,0
739,-37.69,7.95,-2.84,0
740,-36.86,7.71,-2.93,0
741,-35.83,7.45,-3.04,0
742,-34.96,7.72,-3.25,0
743,-34.32,7.7,-3.26,0
744,-33.56,7.6,-3.04,0
745,-32.78,7.74,-3.23,0
746,-32.19,7.81,-3.41,0
747,-31.75,7.64,-3.52,0
748,-30.51,8.27,-3.67,0
749,-29.2,8.49,-3.49,0
750,-28.4,8.55,-3.35,0
751,-27.34,8.79,-3.25,0
752,-26.39,9.11,-3.17,0
753,-25.59,9.29,-3.09,0
754,-24.7,9.5,-3.01,0
755,-24.02,9.38,-2.82,0
756,-23.37,9.46,-2.67,0
757,-22.97,9.31,-2.6,0
758,-22.58,9.29,-2.5,0
759,-22.09,9.47,-2.52,0
760,-21.54,9.43,-2.53,0
761,-21.17,9.2,-2.54,0
762,-20.66,9.02,-2.42,0
763,-20.36,8.99,-2.5,0
764,-19.97,8.87,-2.49,0
765,-19.26,8.98,-2.52,0
766,-18.4,9.0,-2.53,0
767,-17.81,8.83,-2.47,0
768,-17.01,8.83,-2.31,0
769,-16.4,8.51,-2.3,0
770,-15.64,8.42,-2.17,0
771,-15.3,8.31,-2.16,0
772,-14.95,8.36,-2.12,0
773,-14.31,8.46,-2.02,0
774,-13.71,8.17,-1.91,0
775,-13.14,7.83,-1.72,0
776,-12.54,7.67,-1.51,0
777,-12.0,7.07,-1.07,0
778,-11.64,7.01,-1.07,0
779,-11.01,6.84,-1.02,0
780,-10.1,6.86,-0.83,0
